No.,Kabupaten/kota,Ibu kota,Bupati/wali kota,Luas wilayah (km2)[2],Jumlah penduduk (2022),Kecamatan,Gampong,Lambang,Peta lokasi,Lambang URL,Peta Lokasi URL
1,Kabupaten Aceh Barat,Meulaboh,Mahdi Efendi (Pj.),"2.782,87",198.858,12,322,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Seal_of_Aceh_Barat_Regency.svg/50px-Seal_of_Aceh_Barat_Regency.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Lokasi_Aceh_Kabupaten_Aceh_Barat.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Barat.svg.png
2,Kabupaten Aceh Barat Daya,Blangpidie,Darmansah (Pj.),"1.882,28",153.515,9,152,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Lambang_Kabupaten_Aceh_Barat_Daya.png/50px-Lambang_Kabupaten_Aceh_Barat_Daya.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Lokasi_Aceh_Kabupaten_Aceh_Barat_Daya.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Barat_Daya.svg.png
3,Kabupaten Aceh Besar,Kota Jantho,Muhammad Iswanto (Pj.),"2.891,48",422.241,23,604,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Lambang_Kabupaten_Aceh_Besar.png/50px-Lambang_Kabupaten_Aceh_Besar.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Lokasi_Aceh_Kabupaten_Aceh_Besar.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Besar.svg.png
4,Kabupaten Aceh Jaya,Calang,A. Murtala (Pj.),"3.872,35",96.049,9,172,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Coat_of_arms_of_Aceh_Jaya.jpg/50px-Coat_of_arms_of_Aceh_Jaya.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Lokasi_Aceh_Kabupaten_Aceh_Jaya.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Jaya.svg.png
5,Kabupaten Aceh Selatan,Tapak Tuan,Cut Syazalisma (Pj.),"4.175,38",234.169,18,260,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Lambang_Kabupaten_Aceh_Selatan.png/50px-Lambang_Kabupaten_Aceh_Selatan.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Lokasi_Aceh_Kabupaten_Aceh_Selatan.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Selatan.svg.png
6,Kabupaten Aceh Singkil,Singkil,Azmi (Pj.),"1.852,82",129.674,11,116,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Lambang_Kabupaten_Aceh_Singkil.png/50px-Lambang_Kabupaten_Aceh_Singkil.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Lokasi_Aceh_Kabupaten_Aceh_Singkil.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Singkil.svg.png
7,Kabupaten Aceh Tamiang,Karang Baru,Asra (Pj.),"2.187,66",301.800,12,216,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lambang_Kabupaten_Aceh_Tamiang.png/50px-Lambang_Kabupaten_Aceh_Tamiang.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lokasi_Aceh_Kabupaten_Aceh_Tamiang.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Tamiang.svg.png
8,Kabupaten Aceh Tengah,Takengon,Teuku Mirzuan (Pj.),"4.468,42",219.744,14,295,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Lambang_Kabupaten_Aceh_Tengah.png/50px-Lambang_Kabupaten_Aceh_Tengah.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Lokasi_Aceh_Kabupaten_Aceh_Tengah.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Tengah.svg.png
9,Kabupaten Aceh Tenggara,Kutacane,Syakir (Pj.),"4.179,12",227.921,16,385,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Lambang_Kabupaten_Aceh_Tenggara.png/50px-Lambang_Kabupaten_Aceh_Tenggara.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Lokasi_Aceh_Kabupaten_Aceh_Tenggara.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Tenggara.svg.png
10,Kabupaten Aceh Timur,Idi Rayeuk,Mahyuddin (Pj.),"6.040,6",434.929,24,513,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lambang_Kabupaten_Aceh_Timur.png/50px-Lambang_Kabupaten_Aceh_Timur.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Lokasi_Aceh_Kabupaten_Aceh_Timur.svg/150px-Lokasi_Aceh_Kabupaten_Aceh_Timur.svg.png
